author,gender
"Abbott, Edwin Abbott, 1838-1926",M
"Gatlin, Dana, 1884-1940",F
"Riley, W. (William), 1866-1961",M
"Scott, Evelyn, 1893-1963",F
"Falconer, Lanoe, 1848-1908",F
"Sandeau, Jules, 1811-1883",M
"Ware, William, 1797-1852",M
"Hémon, Louis, 1880-1913",M
"Whitaker, Herman, 1867-1919",M
"Bjørnson, Bjørnstjerne, 1832-1910",M
"Lane, Elinor Macartney, 1864-1909",F
"Norris, Hugh Leigh",M
"Cutting, Mary Stewart, 1851-1924",F
"Goodwin, C. C. (Charles Carroll), 1832-1917",M
"Naylor, H. R.",X
"Fiske, Ralph Browning",X
"France, Hector, 1837-1908",M
"Foster, Frances Smith [Editor]",F
"Gillmore, Inez Haynes, 1873-1970",F
"Malet, Lucas, 1852-1931",F
"Boucicault, Dion, 1820-1890",M
"Eastman, Mary H. (Mary Henderson), 1818-1887",F
"Salmond, James Bell, 1891-1958",M
"Wentworth, Patricia, 1878-1961",F
"Colcock, Annie T.",X
"Miles, George Henry, 1824-1871",M
"Winthrop, Theodore, 1828-1861",M
"Garby, Lee Hawkins, 1892-1953",M
"Turgenev, Ivan Sergeevich, 1818-1883",M
"Mouchanoff, Ida de [Translator]",X
"Stuart, A. R.",X
"Wray, W. Fitzwater, 1867-1938 [Translator]",M
"Moskowitz, Sam, 1920-1997",M
"Rodríguez de Montalvo, Garci [Contributor]",M
"Anderson, Nephi, 1865-1923",M
"Boyce, Benjamin, 1903-1997 [Author of introduction, etc.]",M
"Pain, Barry, 1864-1928",M
"Wilson, John, 1785-1854",M
"Norris, W. E. (William Edward), 1847-1925 [Contributor]",M
"Rubin, Mann, 1927-2013",X
"Brown, William Wells, 1814?-1884",M
"Brinton, Davis",X
"Pène du Bois, Henri, 1858-1906 [Translator]",M
"Hutton, William Holden, 1860-1930 [Author of introduction, etc.]",M
"Elck, Arthur [Contributor]",X
"Maule, Mary K. (Mary Katherine), 1861-",F
"Tileston, Merrill",X
"Whitehead, Harold, 1880-",X
"Cooper, Henry St. John",M
"Henkel, Lily [Translator]",X
